question,class1,class2,wh,headWord,synomums1,synomums2,synomums3,AllCaps,AllLowerCase,AllDigits,AllLetters,others,Location,Person,Organization,Money,Percent,Date,Time,DURATION,MISC,NUMBER,SET,ORDINAL,db
From where can I find adventure activity camps in South Africa?,TTD,TTDSPO,where,camp,camp,encampment,cantonment,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
How much cash should I carry for the incidental expenses when travelling from Praslin to La Digue ?,TGU,TGUBAN,when,expense,expense,disbursal,disbursement,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q island populatedPlace wgs place place location island island land object physicalEntity yagoGeoEntity yagoPermanentlyLocatedEntity wikicatIslandsOfSeychelles wikicatIslandsOfTheIndianOcean
Can anyone recommend a good place to stay for couples with great snorkelling on hand and beautiful private beaches?,ACM,ACMOTH,other,couple,couple,none,none,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
How is the weather in Agadir on September?,WTH,WTHOTH,how,weather,weather,weather_condition,atmospheric_condition,true,true,false,false,flase,1,0,0,0,0,1,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port prefecture region site town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInMorocco wikicatMetropolitanAreasOfMorocco wikicatMunicipalitiesOfMorocco wikicatPopulatedCoastalPlacesInMorocco wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesInSouss wikicatPopulatedPlacesInTheAgadir wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatPortsAndHarbours wikicatPrefecturesOfMorocco wikicatSpaTowns   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths
Does anyone know how to buy from Madagascar Air online?,TRS,TRSAIR,how,Air,air,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region state yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatCountries wikicatCountriesInAfrica wikicatEastAfricanCountries wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfMadagascar wikicatIslandsOfTheIndianOcean wikicatLeastDevelopedCountries wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheUnitedNations wikicatPhysiographicProvinces wikicatStatesAndTerritoriesEstablishedIn
What are the must see attractions in Northern region of Madagascar?,TTD,TTDSIG,what,the,,,,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region state yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatCountries wikicatCountriesInAfrica wikicatEastAfricanCountries wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfMadagascar wikicatIslandsOfTheIndianOcean wikicatLeastDevelopedCountries wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheUnitedNations wikicatPhysiographicProvinces wikicatStatesAndTerritoriesEstablishedIn
"Can anybody recommend camping sites (where you can bring your own tent) in Madagascar, on the beaches and in forests/parks?",ACM,ACMBUN,where,anybody,none,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region state yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatCountries wikicatCountriesInAfrica wikicatEastAfricanCountries wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfMadagascar wikicatIslandsOfTheIndianOcean wikicatLeastDevelopedCountries wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheUnitedNations wikicatPhysiographicProvinces wikicatStatesAndTerritoriesEstablishedIn
Can anyone suggest adults only resort which has lovely beaches in Mauritius?,ACM,ACMRES,which,suggest,propose,suggest,advise,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location abstraction administrativeDistrict amorphousShape attribute country crack district island land location object opening physicalEntity region shape space vent yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatExtinctVolcanoes wikicatFrench wikicatHotspotVolcanoes wikicatIslandCountries wikicatIslandsOfMauritius wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn wikicatVolcanoesOfMauritius
From where can I buy tobacco and rolling papers in Mauritius?,TGU,TGUCIG,where,papers,document,written_document,papers,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location abstraction administrativeDistrict amorphousShape attribute country crack district island land location object opening physicalEntity region shape space vent yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatExtinctVolcanoes wikicatFrench wikicatHotspotVolcanoes wikicatIslandCountries wikicatIslandsOfMauritius wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn wikicatVolcanoesOfMauritius
Can anyone tell me the amount of rand I should take if I'm staying at the lion sands lodge for 4 nights?,TGU,TGUAVE,other,I,none,none,none,true,true,true,true,flase,0,0,0,0,0,0,1,0,0,1,0,0,   dUL q timePeriod year
"Are there many places like Cango Wildlife Ranch where you can stroke the Cheetah or get close to other animals like baby hippo, elephant?",TTD,TTDSIG,where,place,topographic_point,place,spot,true,true,false,false,flase,3,0,0,0,0,0,0,0,0,0,0,0,
Do we have to bring heavy warm clothes if we are visiting South Africa in September?,TGU,TGUATT,other,do,make,do,none,true,true,false,false,flase,2,0,0,0,0,1,0,0,0,0,0,0,   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths
Has anyone used Pembury tours for travelling in Cape Town and Kruger?,TGU,TGUTOP,other,Town,town,none,none,true,true,false,false,flase,2,1,0,0,0,0,0,0,0,0,0,0,
Does anyone has experience with 4seasons rent a car company?,TRS,TRSRNT,other,experience,experience,none,none,false,true,true,true,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Is Addo Elephant National Park worthy to visit?,TTD,TTDSIG,other,worthy,worthy,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
