question,class1,class2,wh,headWord,synomums1,synomums2,synomums3,AllCaps,AllLowerCase,AllDigits,AllLetters,others,Location,Person,Organization,Money,Percent,Date,Time,DURATION,MISC,NUMBER,SET,ORDINAL,db
What are the special things we (husband and me) can do during a 5 day stay at Cape Town?,TTD,TTDSIG,what,thing,thing,none,none,true,true,true,true,flase,2,0,0,0,0,0,0,2,0,0,0,0,
What are the companies which organize shark feeding events for scuba divers?,TTD,TTDOTH,what,company,company,none,none,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Is it safe for female traveller to go alone to Cape Town?,TGU,TGUHEA,other,safe,safe,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
What are the best places around Cape Town for safari?,TTD,TTDSIG,what,place,topographic_point,place,spot,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
What are the best places to stay for a family to stay away from nightlife?,ACM,ACMOTH,what,place,topographic_point,place,spot,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
What are the train services that travels from cape town to Oudtshoorn?,TRS,TRSTRN,what,service,service,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location administrativeDistrict area city district geographicalArea location municipality object physicalEntity region site town township tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInSouthAfrica wikicatClimbingAreasOfSouthAfrica wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesInTheOudtshoornLocalMunicipality wikicatTownshipsInTheWesternCape
What are the best places to spend about 2 weeks relaxing honeymoon in South Africa?,ACM,ACMOTH,what,place,topographic_point,place,spot,true,true,true,true,flase,2,0,0,0,0,0,0,3,0,0,0,0,
Can we use travellers cheques and credit cards in Cape Town?,TGU,TGUBAN,other,Town,town,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Is it warm enough to swim in early September in Cape Town?,WTH,WTHTMP,other,enough,adequate,decent,enough,true,true,false,false,flase,2,0,0,0,0,2,0,0,0,0,0,0,
What are the best beaches for shelling in CapeTown?,TTD,TTDSIG,what,beach,beach,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,
I want to find a central location in Cape Town to stay with my family with ease access of food and necessities?,TGU,TGUNEI,other,location,location,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
What are the differences between Shamwari and Kwandwe game reserves and what is the best?,TTD,TTDSIG,what,difference,difference,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
How can I select an apartment with best views on Lawhill apartments?,ACM,ACMAPA,how,view,position,view,perspective,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Is it okay to use Afrique Boutique Hotel shuttle service from/to airport or should I pick a taxi?,TRS,TRSOTH,other,okay,all_right,fine,ok,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Is there any direct flights from Port Elizabeth to Victoria falls?,TRS,TRSAIR,other,flight,flight,none,none,true,true,false,false,flase,1,2,0,0,0,0,0,0,0,0,0,0, administrativeDistrict city district geographicalArea location municipality object physicalEntity region urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInChina
Can anyone suggest me a route to go from Cape Town to Cape Point?,TRS,TRSROU,other,Town,town,none,none,true,true,false,false,flase,4,0,0,0,0,0,0,0,0,0,0,0,
Can anyone suggest me an itinerary from Port Elizabeth for 2 weeks for self driving road trip?,TGU,TGUOTH,other,Elizabeth,Elizabeth,Elizabeth_II,none,true,true,true,true,flase,0,2,0,0,0,0,0,2,0,0,0,0,
What resort would you recommend in and around Cape Town for a couple with a 5 year old towards the end of October?,ACM,ACMRES,what,couple,couple,none,none,true,true,true,true,flase,2,0,0,0,0,4,0,3,0,0,0,0,
"Can anyone recommend a place with lovely views to stay in Knysna for 2 nights in middle of January, 2017?",ACM,ACMOTH,other,view,position,view,perspective,true,true,true,true,flase,1,0,0,0,0,3,4,0,0,1,0,0,   q populatedPlace settlement wgs place place location administrativeDistrict city district geographicalArea location municipality object physicalEntity region site township tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInSouthAfrica wikicatMunicipalitiesOfSouthAfrica wikicatMunicipalitiesOfTheWesternCape wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesInTheKnysnaLocalMunicipality wikicatTownshipsInTheWesternCape   dUL q timePeriod year
"Is it possible to camping in Kruger National Park for few nights, sleeping in our own tent?",ACM,ACMBUN,other,possible,possible,none,none,true,true,false,false,flase,3,0,0,0,0,0,1,0,0,0,0,0,
Do we have to navigate to another terminal to get into domestic flights to Skukuza?,TRS,TRSAIR,other,do,make,do,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location administrativeDistrict district geographicalArea location municipality nationalPark object park physicalEntity region site town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatNationalParksOfSouthAfrica wikicatPopulatedPlacesInMpumalanga wikicatPopulatedPlacesInTheMbombelaLocalMunicipality
"Are chip and signature credit cards accepted in South Africa, or is a chip and pin required?",TGU,TGUBAN,other,card,card,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
What are the cruise lines I can use to go from Cape Town to Lisbon,TRS,TRSCRS,what,line,line,none,none,true,true,false,false,flase,3,0,0,0,0,0,0,0,0,0,0,0,
Can you suggest me must see places & budget required for trip Sightseeing activities as we are coming to SA for 7 day stay for anniversary celebrations.,TTD,TTDSIG,other,activity,activity,none,none,true,true,true,true,flase,0,0,0,0,0,0,0,2,0,0,0,0,
What are the advantages/disadvantages of visiting La Digue on Sunday?,TTD,TTDSIG,what,advantages/disadvantages,none,none,none,true,true,false,false,flase,0,0,2,0,0,1,0,0,0,0,0,0,   abstraction day festival fundamentalQuantity measure timePeriod timeUnit wikicatChristianFestivalsAndHolyDays wikicatDaysOfTheWeek wikicatEasternOrthodoxLiturgicalDays
What are the best places to spend honeymoon in Seychelles?,ACM,ACMOTH,what,place,topographic_point,place,spot,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Can anyone suggest a good itinerary for our 4 day stay at Seychelles?,TGU,TGUOTH,other,itinerary,path,route,itinerary,true,true,true,true,flase,1,0,0,0,0,0,0,2,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Which La Digue Island hotels are cheap for lunch and dinner?,ACM,ACMOTH,which,cheap,cheap,inexpensive,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Would rain be a deal breaker at the end of November for tourists?,WTH,WTHDRC,other,breaker,breaker,ledgeman,none,true,true,false,false,flase,0,0,0,0,0,4,0,0,0,0,0,0,
How can I get the details about ferry services to go between islands in Seychelles?,TRS,TRSCRS,how,service,service,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
What are the cost effective car rental services around Mahe?,TRS,TRSRNT,what,service,service,none,none,true,true,false,false,flase,0,1,0,0,0,0,0,0,0,0,0,0, abbreviation abstraction form island land languageUnit object part physicalEntity relation word yagoGeoEntity yagoPermanentlyLocatedEntity wikicatAbbreviations wikicatIslandsOfSeychelles wikicatIslandsOfTheIndianOcean
